geo,year,theft,poverty,neet,education,unemployment,income,inequity
Sweden,2016,3810.73,17.43630009,6.600181390000001,46.59531041,5.024018669999999,63.356055232365975,4.25
Slovenia,2016,1036.44,3.4884777199999992,1.9196948400000002,8.8760084,1.032094,50.56509502621756,3.56
Slovakia,2016,292.47,9.27889092,8.19364052,18.123681679999997,3.47280128,42.62819167762628,3.63
Austria,2017,1501.41,15.00159915,7.720121200000001,35.35464595,3.5091460000000003,63.49716029013761,4.29
Belgium,2017,1969.42,24.9737994,13.39503786,51.87739239,4.881242609999999,61.172372824666894,3.84
Bulgaria,2017,576.57,26.9870642,13.422513509999998,23.72020906,3.12481796,34.36491905487193,8.23
Cyprus,2017,112.19,1.82927628,1.50445152,4.8723714,0.63255348,53.29030039453411,4.56
Czechia,2017,624.84,12.8003722,10.57882,35.7564116,2.0099758,44.65807194170443,3.4
Germany,2017,1401.36,155.14070764000002,79.22078688,258.29277389,19.80519672,60.706008462458044,4.49
Denmark,2017,3721.21,10.23280882,5.63379362,26.15689895,2.2995076,66.0005986891456,4.08
Estonia,2017,580.18,3.06542955,1.3814167499999999,5.38094715,0.5525667000000001,46.327207328795794,5.42
Greece,2017,860.55,34.67358146,22.613205299999997,45.76482024999999,13.998650900000001,43.70517040553862,6.11
Spain,2017,349.09,127.95206600000002,76.30595935999999,198.20938224,52.11138687999999,53.12555364158176,6.59
Finland,2017,2201.92,8.8052752,5.72342888,22.178286909999997,3.13687929,62.35235363407109,3.54
France,2017,2228.96,118.92147248000002,88.18895712000001,297.3036812,39.41779144,60.97589683082475,4.31
Croatia,2017,298.81,9.845484809999999,7.43604127,13.58427651,2.7002384500000005,40.853681578177934,5.03
Hungary,2017,819.95,25.37568299,10.973268319999999,29.58863422,2.54736586,38.279888433488146,4.27
Ireland,2017,1398.78,10.717017919999998,6.12401024,26.17057501,2.1529723499999998,61.72313641198049,4.63
Italy,2017,1765.93,156.92666255,146.6264569,162.98560704999997,38.7772448,55.871519839338596,5.92
Lithuania,2017,598.33,8.48675392,2.90486208,15.83434624,1.3669939199999999,40.76857081354817,7.28
Luxembourg,2017,1708.24,1.13998731,0.38984022000000007,3.10690842,0.20673345,71.20876808058522,4.56
Latvia,2017,745.29,5.557830599999999,2.39864268,8.11248256,1.1700696,41.54274723739124,6.3
Malta,2017,1793.41,0.8929761799999999,0.40506136000000004,1.6064365299999999,0.11507425000000002,53.366561566048944,4.21
Netherlands,2017,1516.82,28.35530162,11.10297955,79.59982262,7.17423294,61.87207638682573,3.99
Poland,2017,281.58,71.00944268,49.364853200000006,165.56212304,11.3918892,40.23869806534649,4.56
Portugal,2017,858.82,24.124400819999998,10.928147379999999,35.052548200000004,6.08264807,46.05016093054111,5.75
Romania,2017,489.47,83.48678325,43.413127290000006,50.28850944,6.48250317,31.706638763524868,6.45
Sweden,2017,3602.88,17.191663159999997,6.39689792,47.37702522,4.897624970000001,63.646682888122605,4.27
Slovenia,2017,994.19,3.4293857,1.6320570499999998,9.19323275,0.8676759,51.081626797187305,3.42
Slovakia,2017,373.39,8.58784194,8.20736793,19.078053930000003,2.9350852200000004,42.97911300807535,3.49
Austria,2018,1346.62,14.821408560000002,7.763594960000001,35.73018135,3.1760161200000003,63.94710338659208,4.04
Belgium,2018,1948.04,23.367107449999995,12.99439146,54.02931186,4.10349204,62.01051322678863,3.79
Bulgaria,2018,523.71,23.2651122,12.83106188,23.9701156,2.6790129200000004,34.36491905487193,7.66
Cyprus,2018,82.85,1.65069076,1.28771164,5.0557806,0.49261452000000006,54.33295609137891,4.29
Czechia,2018,560.2,12.5198649,10.079552249999999,35.33148315,1.5915082499999997,45.958036795791884,3.32
Germany,2018,1307.46,153.16584935,74.5131159,267.41929372999994,18.21431722,61.29869168507892,5.07
Denmark,2018,3162.31,10.117082499999999,5.5499424,26.477850199999995,2.0234165,66.70738184741633,4.11
Estonia,2018,561.2,3.1131538800000005,1.5170029500000002,5.421636630000001,0.51446187,47.92058219382725,5.07
Greece,2018,748.07,32.54572995,20.623036799999998,45.9721862,12.56716305,44.140375714336685,5.51
Spain,2018,360.5,127.37756031,71.38742391,206.69692020999997,46.19186253,53.73862043154765,6.03
Finland,2018,2143.85,9.1517958,5.292604799999999,22.217913899999996,2.7014337,62.76311604818696,3.65
France,2018,2170.64,119.97694096,86.46382896,315.02325279999997,38.204947680000004,61.20317634511546,4.23
Croatia,2018,296.92,9.07313953,6.404569080000001,14.533445219999999,2.01169157,41.81413014419036,5.0
Hungary,2018,656.45,20.143444260000003,10.36507326,29.921815260000002,2.24902533,39.18669063300634,4.35
Ireland,2018,1334.74,10.047215360000001,5.60325472,27.146803040000005,1.88385288,63.43589848965385,4.23
Italy,2018,1680.73,155.44381061,142.13733655,167.54060520999997,36.89522353,56.20008664175852,6.09
Lithuania,2018,456.87,8.005367849999999,2.6122779300000003,15.617489560000003,1.2078274299999998,42.18990697606562,7.09
Luxembourg,2018,1712.94,1.21003005,0.45150375,3.23276685,0.21672180000000005,70.4738604649688,5.18
Latvia,2018,726.18,5.493636359999999,2.24387964,8.04701664,1.00587708,42.796987748002614,6.78
Malta,2018,1372.29,0.91334592,0.34726172999999994,1.8980469899999999,0.11416824,53.69607432017132,4.28
Netherlands,2018,1361.88,28.348788600000002,10.824082919999999,81.78195984,6.185190240000001,62.17394483937421,4.05
Poland,2018,260.25,69.11065615999999,46.32692336,165.18206279999998,9.113493120000001,41.528774526810786,4.25
Portugal,2018,850.93,22.228618320000002,9.87938592,36.12150477,4.836782690000001,46.45968619138175,5.22
Romania,2018,514.1,75.59457147,41.60631453,48.63836769,5.664709489999999,33.60297768525108,7.21
Sweden,2018,3303.14,17.912828339999997,6.5781573,48.172351920000004,4.75651374,63.79086499081387,4.13
Slovenia,2018,898.94,3.1829952,1.55016,8.4122016,0.6820704000000001,51.711437779875794,3.38
Slovakia,2018,248.83,8.2735424,7.5115056000000004,20.248406400000004,2.3405416,43.786955909667206,3.03
Austria,2019,1302.92,14.61697875,7.618546499999999,36.852504,2.92339575,64.19438716955547,4.17
Belgium,2019,1956.68,22.911038,12.830181279999998,54.184604869999994,3.7803212700000004,62.789026796016174,3.61
Bulgaria,2019,473.88,23.240129480000004,11.690065129999997,22.89012753,2.31001287,36.18687581182759,8.1
Cyprus,2019,73.3,1.6291721400000003,1.23501759,5.2816709699999995,0.42919050999999997,55.3341926472478,4.58
Czechia,2019,561.98,12.886258,10.436804,34.718348000000006,1.3844740000000002,47.34775919630359,3.34
Germany,2019,1235.04,143.62323849,71.39652317999999,276.45397928999995,17.43403473,61.96768145012396,4.89
Denmark,2019,2928.71,10.04452013,5.57383776,27.34664151,2.0321283500000002,66.94349412302707,4.09
