freq,iccs,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,ICCS020111,P_HTHAB,EE	7.47 	7.50 	5.85 	7.45 	7.07 	5.78 	6.82 	5.89 	5.79 	5.56 
A,ICCS020111,P_HTHAB,EL	15.26 	14.63 	13.35 	14.96 	14.05 	14.02 	14.77 	14.97 	11.99 	11.11 
A,ICCS020111,P_HTHAB,ES	37.06 	35.74 	36.07 	62.55 	37.32 	38.87 	39.20 	42.73 	33.81 	42.73 
A,ICCS020111,P_HTHAB,FI	34.36 	33.00 	30.18 	28.56 	29.01 	28.73 	29.18 	28.71 	31.74 	30.05 
A,ICCS020111,P_HTHAB,FR	355.00 	355.64 	360.80 	364.25 	399.97 	415.49 	447.15 	479.29 	470.34 	522.86 
A,ICCS020111,P_HTHAB,HR	21.12 	19.31 	18.04 	19.03 	18.85 	19.21 	17.85 	18.06 	18.31 	18.01 
A,ICCS020111,P_HTHAB,HU	140.69 	135.00 	136.42 	126.55 	: 	: 	: 	: 	: 	: 
A,ICCS020111,P_HTHAB,IE	70.11 	66.89 	68.20 	75.17 	76.97 	85.72 	94.11 	102.79 	85.59 	96.24 
A,ICCS020111,P_HTHAB,IS	23.16 	28.58 	31.01 	25.83 	22.25 	30.44 	35.01 	27.17 	36.25 	32.54 
A,ICCS020111,P_HTHAB,IT	117.06 	111.11 	110.24 	107.03 	105.72 	108.77 	109.72 	110.16 	91.45 	100.72 
A,ICCS020111,P_HTHAB,LI	189.17 	279.60 	323.20 	216.77 	188.72 	219.52 	207.27 	198.03 	221.95 	153.63 
A,ICCS020111,P_HTHAB,LT	5.93 	7.10 	6.93 	7.33 	7.48 	6.25 	6.59 	5.44 	5.37 	4.51 
A,ICCS020111,P_HTHAB,LU	128.99 	132.76 	132.44 	108.00 	98.74 	99.04 	101.49 	103.76 	77.62 	86.34 
A,ICCS020111,P_HTHAB,LV	64.80 	22.63 	28.43 	26.89 	33.37 	33.69 	33.40 	33.28 	31.24 	29.00 
A,ICCS020111,P_HTHAB,ME	27.08 	27.86 	20.76 	22.50 	20.57 	23.62 	24.58 	18.48 	20.74 	19.01 
A,ICCS020111,P_HTHAB,MK	10.24 	10.47 	10.31 	7.44 	8.35 	7.14 	: 	: 	: 	: 
A,ICCS020111,P_HTHAB,MT	41.67 	51.74 	37.61 	42.62 	44.40 	40.41 	38.47 	40.52 	35.56 	33.13 
A,ICCS020111,P_HTHAB,NL	37.09 	33.25 	31.73 	30.18 	29.57 	28.01 	26.66 	28.01 	29.96 	26.15 
A,ICCS020111,P_HTHAB,NO	55.78 	50.80 	46.54 	43.34 	42.20 	40.16 	37.16 	39.96 	33.27 	29.14 
A,ICCS020111,P_HTHAB,PL	25.54 	23.96 	21.70 	18.31 	20.07 	19.23 	17.41 	16.89 	14.17 	12.72 
A,ICCS020111,P_HTHAB,PT	6.65 	5.53 	5.20 	4.52 	5.04 	5.66 	5.63 	6.43 	5.59 	6.11 
A,ICCS020111,P_HTHAB,RO	85.68 	87.77 	11.43 	1.50 	1.54 	1.38 	1.29 	1.46 	1.18 	0.95 
A,ICCS020111,P_HTHAB,RS	18.33 	24.37 	21.07 	19.99 	18.92 	18.25 	98.61 	89.26 	83.68 	76.58 
A,ICCS020111,P_HTHAB,SE	56.29 	48.76 	47.38 	47.66 	50.34 	46.87 	46.53 	52.04 	51.22 	46.37 
A,ICCS020111,P_HTHAB,SI	98.85 	89.81 	80.39 	74.65 	72.23 	67.67 	74.99 	75.30 	68.85 	56.14 
A,ICCS020111,P_HTHAB,SK	40.39 	37.28 	36.71 	34.35 	30.08 	29.79 	29.34 	28.02 	23.29 	20.72 
A,ICCS020111,P_HTHAB,TR	351.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,ICCS020111,P_HTHAB,UKC-L	551.63 	566.50 	653.16 	746.93 	802.85 	875.94 	927.84 	: 	: 	: 
A,ICCS020111,P_HTHAB,UKM	68.65 	55.47 	54.39 	69.34 	73.47 	72.84 	74.47 	: 	: 	: 
A,ICCS020111,P_HTHAB,UKN	70.26 	59.84 	63.79 	65.29 	59.78 	56.41 	56.66 	: 	: 	: 
A,ICCS020111,P_HTHAB,XK	: 	: 	: 	: 	20.49 	18.56 	16.90 	15.31 	15.37 	: 
A,ICCS020221,P_HTHAB,AL	: 	: 	0.07 	0.27 	0.13 	0.07 	0.17 	0.14 	0.18 	0.14 
A,ICCS020221,P_HTHAB,AT	0.13 	0.05 	0.01 	0.03 	0.02 	0.03 	0.06 	0.07 	0.03 	0.03 
A,ICCS020221,P_HTHAB,BA	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,ICCS020221,P_HTHAB,BE	10.68 	10.42 	10.29 	10.42 	10.62 	10.31 	: 	: 	: 	: 
