freq,age,sex,unit,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 
A,Y_GE60,F,P_HTHAB,BG	0.79 	: 	: 	: 	: 	: 
A,Y_GE60,F,P_HTHAB,CZ	0.86 	0.59 	: 	0.70 	0.83 	0.38 
A,Y_GE60,F,P_HTHAB,DE	1.31 	1.33 	1.04 	0.82 	1.24 	1.08 
A,Y_GE60,F,P_HTHAB,DK	0.66 	0.39 	0.64 	1.02 	0.63 	0.74 
A,Y_GE60,F,P_HTHAB,EE	1.41 	: 	0.46 	1.83 	1.81 	0.00 
A,Y_GE60,F,P_HTHAB,ES	0.34 	0.57 	0.56 	0.52 	0.61 	0.47 
A,Y_GE60,F,P_HTHAB,FI	0.60 	1.43 	0.47 	0.23 	: 	: 
A,Y_GE60,F,P_HTHAB,FR	0.83 	0.82 	0.76 	0.90 	0.68 	0.78 
A,Y_GE60,F,P_HTHAB,HR	1.10 	0.93 	0.46 	0.46 	1.21 	1.36 
A,Y_GE60,F,P_HTHAB,HU	1.25 	1.10 	1.98 	0.58 	0.71 	0.84 
A,Y_GE60,F,P_HTHAB,IE	0.22 	0.43 	0.21 	0.00 	0.39 	0.19 
A,Y_GE60,F,P_HTHAB,IT	0.57 	0.53 	0.61 	0.42 	0.42 	0.56 
A,Y_GE60,F,P_HTHAB,LT	3.03 	3.45 	1.50 	1.69 	2.30 	1.86 
A,Y_GE60,F,P_HTHAB,LV	2.72 	3.92 	2.71 	3.59 	2.98 	3.85 
A,Y_GE60,F,P_HTHAB,MT	0.00 	0.00 	3.13 	1.53 	0.00 	0.00 
A,Y_GE60,F,P_HTHAB,NL	0.32 	0.44 	0.22 	0.39 	0.29 	0.29 
A,Y_GE60,F,P_HTHAB,PL	0.31 	0.47 	0.31 	0.29 	0.52 	0.26 
A,Y_GE60,F,P_HTHAB,SI	0.34 	1.33 	0.65 	0.64 	0.64 	0.94 
A,Y_GE60,F,P_HTHAB,SK	0.74 	0.58 	0.85 	0.14 	0.54 	0.81 
A,Y_GE60,M,P_HTHAB,AT	0.43 	0.95 	0.83 	0.71 	0.49 	0.29 
A,Y_GE60,M,P_HTHAB,BG	3.66 	: 	: 	: 	: 	: 
A,Y_GE60,M,P_HTHAB,CZ	0.87 	0.68 	: 	1.16 	0.33 	0.25 
A,Y_GE60,M,P_HTHAB,DE	1.27 	1.41 	0.97 	0.90 	1.21 	0.92 
A,Y_GE60,M,P_HTHAB,DK	0.46 	1.19 	1.03 	1.16 	0.43 	0.28 
A,Y_GE60,M,P_HTHAB,EE	3.30 	2.43 	4.78 	2.34 	3.83 	3.00 
A,Y_GE60,M,P_HTHAB,ES	0.70 	0.69 	0.63 	1.00 	0.70 	0.65 
A,Y_GE60,M,P_HTHAB,FI	1.50 	0.88 	2.16 	0.99 	: 	: 
A,Y_GE60,M,P_HTHAB,FR	1.04 	0.68 	0.79 	0.78 	0.94 	0.96 
A,Y_GE60,M,P_HTHAB,HR	1.52 	2.13 	0.84 	1.04 	0.82 	0.81 
A,Y_GE60,M,P_HTHAB,HU	1.20 	1.57 	0.68 	0.97 	1.25 	1.16 
A,Y_GE60,M,P_HTHAB,IE	0.98 	0.24 	0.46 	0.67 	0.43 	1.25 
A,Y_GE60,M,P_HTHAB,IT	0.46 	0.54 	0.59 	0.68 	0.43 	0.53 
A,Y_GE60,M,P_HTHAB,LT	6.98 	5.40 	4.57 	3.73 	6.21 	1.80 
A,Y_GE60,M,P_HTHAB,LV	5.04 	6.12 	4.39 	2.17 	1.60 	3.17 
A,Y_GE60,M,P_HTHAB,MT	1.93 	1.86 	0.00 	0.00 	1.69 	0.00 
A,Y_GE60,M,P_HTHAB,NL	0.57 	0.61 	0.54 	0.53 	0.52 	0.69 
A,Y_GE60,M,P_HTHAB,PL	0.97 	0.91 	0.62 	0.73 	0.79 	0.88 
A,Y_GE60,M,P_HTHAB,SI	0.44 	0.42 	0.41 	0.40 	1.18 	0.38 
A,Y_GE60,M,P_HTHAB,SK	0.85 	1.43 	1.98 	0.97 	1.89 	1.85 
A,Y_LT15,F,P_HTHAB,AT	0.50 	0.49 	0.65 	0.32 	0.80 	0.96 
A,Y_LT15,F,P_HTHAB,BG	0.00 	: 	: 	: 	: 	: 
A,Y_LT15,F,P_HTHAB,CZ	0.51 	0.12 	: 	0.61 	0.24 	0.12 
A,Y_LT15,F,P_HTHAB,DE	1.38 	0.52 	0.55 	0.35 	0.78 	0.81 
A,Y_LT15,F,P_HTHAB,DK	2.72 	0.64 	0.43 	0.21 	0.00 	0.22 
A,Y_LT15,F,P_HTHAB,ES	0.51 	0.18 	0.35 	0.27 	0.21 	0.24 
A,Y_LT15,F,P_HTHAB,FI	0.00 	0.23 	0.23 	0.23 	: 	: 
A,Y_LT15,F,P_HTHAB,FR	0.55 	0.37 	0.49 	0.30 	0.31 	0.32 
A,Y_LT15,F,P_HTHAB,HR	0.74 	0.68 	0.00 	0.35 	0.00 	0.36 
A,Y_LT15,F,P_HTHAB,HU	0.43 	1.01 	0.24 	0.87 	0.58 	0.14 
A,Y_LT15,F,P_HTHAB,IE	0.00 	0.61 	0.41 	0.20 	0.41 	0.00 
A,Y_LT15,F,P_HTHAB,IT	0.69 	0.23 	0.15 	0.13 	0.13 	0.13 
A,Y_LT15,F,P_HTHAB,LT	4.23 	0.00 	0.00 	0.00 	0.49 	0.00 
A,Y_LT15,F,P_HTHAB,LV	0.00 	1.36 	0.00 	0.68 	1.35 	2.04 
A,Y_LT15,F,P_HTHAB,MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
A,Y_LT15,F,P_HTHAB,NL	0.30 	0.59 	0.15 	0.22 	0.45 	0.23 
A,Y_LT15,F,P_HTHAB,PL	0.00 	0.14 	0.39 	0.53 	0.25 	0.25 
A,Y_LT15,F,P_HTHAB,SI	0.00 	0.00 	0.00 	0.00 	0.00 	: 
A,Y_LT15,M,P_HTHAB,AT	0.47 	0.77 	0.15 	0.30 	0.45 	0.30 
A,Y_LT15,M,P_HTHAB,BG	0.86 	: 	: 	: 	: 	: 
A,Y_LT15,M,P_HTHAB,CZ	0.24 	0.36 	: 	0.69 	0.46 	0.11 
